comparison_key,comparison,role,profile,profile_label,n_scope,pairs,wins,losses,ties,wlt,mean_relative_pct,median_relative_pct,status,boundary
direct_anf,Pareto vs Direct ANF,primary same-task baseline,paper,Paper score,n=3-6,177,172,1,4,172/1/4,-67.799016,-71.372206,pass,"Direct algebraic expansion is a baseline, not a strong optimized compiler."
direct_anf,Pareto vs Direct ANF,primary same-task baseline,t_only,T-only,n=3-6,177,172,0,5,172/0/5,-72.252063,-75.555556,pass,"Direct algebraic expansion is a baseline, not a strong optimized compiler."
direct_anf,Pareto vs Direct ANF,primary same-task baseline,cnot_only,CNOT-only,n=3-6,177,164,9,4,164/9/4,-34.195282,-37.500000,pass,"Direct algebraic expansion is a baseline, not a strong optimized compiler."
direct_anf,Pareto vs Direct ANF,primary same-task baseline,cnot_depth,CNOT-depth,n=3-6,177,172,1,4,172/1/4,-59.546282,-63.504208,pass,"Direct algebraic expansion is a baseline, not a strong optimized compiler."
direct_anf,Pareto vs Direct ANF,primary same-task baseline,balanced,Balanced,n=3-6,177,172,1,4,172/1/4,-65.660169,-69.336521,pass,"Direct algebraic expansion is a baseline, not a strong optimized compiler."
direct_anf,Pareto vs Direct ANF,primary same-task baseline,ancilla_tight,Ancilla-tight,n=3-6,177,172,1,4,172/1/4,-61.041652,-65.048794,pass,"Direct algebraic expansion is a baseline, not a strong optimized compiler."
esop_milp,Pareto vs ESOP-MILP,primary exact/ILP counterpoint,paper,Paper score,n=3-6,177,167,3,7,167/3/7,-29.842574,-23.693231,pass,ILP is exact for its ESOP model but not a global quantum-circuit optimum.
esop_milp,Pareto vs ESOP-MILP,primary exact/ILP counterpoint,t_only,T-only,n=3-6,177,166,0,11,166/0/11,-32.766734,-26.666667,pass,ILP is exact for its ESOP model but not a global quantum-circuit optimum.
esop_milp,Pareto vs ESOP-MILP,primary exact/ILP counterpoint,cnot_only,CNOT-only,n=3-6,177,123,41,13,123/41/13,-14.971924,-6.521739,pass,ILP is exact for its ESOP model but not a global quantum-circuit optimum.
esop_milp,Pareto vs ESOP-MILP,primary exact/ILP counterpoint,cnot_depth,CNOT-depth,n=3-6,177,165,4,8,165/4/8,-25.444541,-18.467783,pass,ILP is exact for its ESOP model but not a global quantum-circuit optimum.
esop_milp,Pareto vs ESOP-MILP,primary exact/ILP counterpoint,balanced,Balanced,n=3-6,177,166,3,8,166/3/8,-28.482314,-21.861604,pass,ILP is exact for its ESOP model but not a global quantum-circuit optimum.
esop_milp,Pareto vs ESOP-MILP,primary exact/ILP counterpoint,ancilla_tight,Ancilla-tight,n=3-6,177,167,3,7,167/3/7,-26.679561,-19.842944,pass,ILP is exact for its ESOP model but not a global quantum-circuit optimum.
sshr_h,Pareto vs SSHR-H,CNOT-oriented SSHR counterpoint,paper,Paper score,n=3-6,177,173,4,0,173/4/0,-41.061257,-43.047608,pass,CNOT-only rows are expected to expose SSHR's intended strength.
sshr_h,Pareto vs SSHR-H,CNOT-oriented SSHR counterpoint,t_only,T-only,n=3-6,177,173,0,4,173/0/4,-47.932385,-50.000000,pass,CNOT-only rows are expected to expose SSHR's intended strength.
sshr_h,Pareto vs SSHR-H,CNOT-oriented SSHR counterpoint,cnot_only,CNOT-only,n=3-6,177,43,128,6,43/128/6,18.987266,20.000000,pass,CNOT-only rows are expected to expose SSHR's intended strength.
sshr_h,Pareto vs SSHR-H,CNOT-oriented SSHR counterpoint,cnot_depth,CNOT-depth,n=3-6,177,168,9,0,168/9/0,-27.866000,-27.259560,pass,CNOT-only rows are expected to expose SSHR's intended strength.
sshr_h,Pareto vs SSHR-H,CNOT-oriented SSHR counterpoint,balanced,Balanced,n=3-6,177,173,4,0,173/4/0,-37.355494,-38.820030,pass,CNOT-only rows are expected to expose SSHR's intended strength.
sshr_h,Pareto vs SSHR-H,CNOT-oriented SSHR counterpoint,ancilla_tight,Ancilla-tight,n=3-6,177,172,5,0,172/5/0,-31.950092,-33.294733,pass,CNOT-only rows are expected to expose SSHR's intended strength.
sshr_i_cnot,Pareto vs SSHR-I CNOT,ILP SSHR CNOT counterpoint,paper,Paper score,n=3-6,177,173,4,0,173/4/0,-31.886993,-33.914523,pass,SSHR-I is a CNOT-oriented external result; weighted rows are not CNOT dominance claims.
sshr_i_cnot,Pareto vs SSHR-I CNOT,ILP SSHR CNOT counterpoint,t_only,T-only,n=3-6,177,168,1,8,168/1/8,-39.487854,-42.105263,pass,SSHR-I is a CNOT-oriented external result; weighted rows are not CNOT dominance claims.
