dataset,index,name,preset_name,n,anf_terms,method,selected_k,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,correct,abc_blif_correct,time_s,abc_time_s,mockturtle_time_s,klut_gates,klut_depth,xag_gates,xag_and,xag_xor,xag_depth,xag_other,mockturtle_commit,abc_script,source_manifest,skipped,error,abc_binary,klut_pis,klut_pos,mockturtle_tool,xag_pis,xag_pos
traditional,1,majority_n3,majority_n3,3,3,external_mockturtle_xag_k4,4,12,21,19,9,4,4,8,21.215,True,True,0.08375430107116699,0.035140275955200195,0.04767203330993652,1,1,4,3,1,3,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,3,1
traditional,0,parity_n3,parity_n3,3,3,external_mockturtle_xag_k4,4,0,5,13,5,2,2,6,4.445,True,True,0.08446192741394043,0.03541278839111328,0.04799699783325195,1,1,2,0,2,2,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,3,1
traditional,2,threshold2_n3,threshold2_n3,3,3,external_mockturtle_xag_k4,4,12,21,19,9,4,4,8,21.215,True,True,0.08180713653564453,0.033483028411865234,0.04741406440734863,1,1,4,3,1,3,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,3,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,3,1
traditional,13,adder_carry_w2,adder_carry_w2,4,3,external_mockturtle_xag_k4,4,20,31,25,11,5,5,10,31.724999999999998,True,True,0.07990884780883789,0.03195905685424805,0.04726815223693848,1,1,5,5,0,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,4,majority_n4,majority_n4,4,5,external_mockturtle_xag_k4,4,20,35,31,15,7,7,12,36.015,True,True,0.08190417289733887,0.03495073318481445,0.04628610610961914,1,1,7,5,2,5,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,15,mul_w2_bit1,mul_w2_bit1,4,2,external_mockturtle_xag_k4,4,8,15,13,7,3,3,8,14.865,True,True,0.07974004745483398,0.03237295150756836,0.04671812057495117,1,1,3,2,1,2,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,3,parity_n4,parity_n4,4,4,external_mockturtle_xag_k4,4,0,7,19,7,3,3,8,6.635,True,True,0.08121681213378906,0.033364057540893555,0.04686307907104492,1,1,3,0,3,3,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,5,threshold2_n4,threshold2_n4,4,7,external_mockturtle_xag_k4,4,20,35,31,15,7,7,12,36.015,True,True,0.0818331241607666,0.03464818000793457,0.046568870544433594,1,1,7,5,2,5,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,17,truth_n4_0,truth_n4_0,4,9,external_mockturtle_xag_k4,4,20,33,31,13,6,6,11,33.915,True,True,0.08031296730041504,0.03365302085876465,0.046053171157836914,1,1,6,5,1,5,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,18,truth_n4_1,truth_n4_1,4,4,external_mockturtle_xag_k4,4,8,19,25,11,5,5,10,19.244999999999997,True,True,0.08000421524047852,0.033563852310180664,0.0457301139831543,1,1,5,2,3,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
traditional,27,truth_n4_10,truth_n4_10,4,7,external_mockturtle_xag_k4,4,16,27,25,11,5,5,10,27.564999999999998,True,True,0.08037805557250977,0.03344106674194336,0.04633212089538574,1,1,5,4,1,4,0,25beb0e294e4613bb9fe62319b91d9f2ab764e88,strash; if -K 4,benchmark_exports/traditional_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,4,1,/Users/zhouzixiang/Desktop/tzb/src/tmp/bin/mockturtle_blif_xag_stats,4,1
